8107EC40 8162
8107EC42 3E00
8107EC38 FEC1
8107EC3A 7A00
8107EC20 0000
8107EC22 5E00
8107EC28 0000
8107EC2A AB00
8107EC70 BB00
8107EC72 0000
8107EC68 BB00
8107EC6A 0000
8107EC80 EFDD
8107EC82 7800
8107EC88 EFDD
8107EC8A 7800
8107ECA0 0000
8107ECA2 5000
8107EC98 0000
8107EC9A 8700
81265366 41AF
81265380 4604
812653A8 1000
812653CE 75EF
812653EE 75EF
D133AFA0 4000
8133B1C4 426C
81252924 2400
8125292E 4291
802524CA 0001
802524CF 0082
80252F12 0001
80252F17 0082
8025303E 0001
80253043 0082
8025305A 0001
8025305F 0082
8025323A 0001
8025323F 0082
802643D2 0001
802643D7 0082
8026094A 0001
8026094F 0082
80262EFE 0001
80262F03 0082
80263082 0001
80263087 0082
802677A6 0001
802677AB 0082
80268086 0001
8026809B 0082
802682A2 0001
802682A7 0082
802682F2 0001
80268307 0082
8126B828 2400
8133B724 0000
8133B726 0000
8033B22C 00E8
8133B178 FFFF
8008EFBA 0000
80095512 0000
80096AEA 0000
81253B50 0000
81253B52 0000
D133AFA0 0020
8107EC20 C878
D133AFA0 0020
8107EC22 0500
D133AFA0 0020
8107EC28 C878
D133AFA0 0020
8107EC2A 0500
D133AFA0 0020
8107EC70 BF2B
D133AFA0 0020
8107EC72 0300
D133AFA0 0020
8107EC68 BF2B
D133AFA0 0020
8107EC6A 0300
D133AFA0 0020
8107ECA0 C878
D133AFA0 0020
8107ECA2 0500
D133AFA0 0020
8107EC98 C878
D133AFA0 0020
8107EC9A 0500
